ISO,Country,Access to Drinking Water,Access to Sanitation,Industrial Pollution,Agricultural Pollution,Water Scarcity,Water Management,Total,PPP, 2030 GDP , 2030 Population ,2030 Water Demand (m3)
PAN,Panama," $75,730,200 "," $144,104,337 "," $5,551,025 "," $86,399,417 "," $2,606,715 "," $62,878,339 "," $377,270,032 ",0.62," $133,219,455,413 ",4.20E+06,8.42E+08
PNG,Papua New Guinea," $359,910,759 "," $81,015,312 "," $208,990,665 "," $434,256,787 "," $6,112,545 "," $218,057,214 "," $1,308,343,282 ",0.64," $51,772,910,458 ",8.85E+06,1.79E+09
PRY,Paraguay," $183,915,316 "," $94,505,592 "," $9,416,686 "," $80,983,818 "," $1,395 "," $73,764,561 "," $442,587,368 ",0.45," $113,257,455,082 ",8.02E+06,6.57E+08
PER,Peru," $885,399,815 "," $532,891,429 "," $396,711,178 "," $1,790,912,179 "," $2,396,407,064 "," $1,200,464,333 "," $7,202,785,998 ",0.48," $686,001,530,430 ",3.15E+07,2.62E+10
PHL,Philippines," $1,436,116,821 "," $2,259,453,886 "," $2,287,260,951 "," $1,729,297,647 "," $4,167,507,755 "," $2,375,927,412 "," $14,255,564,473 ",0.39," $840,887,412,502 ",1.15E+08,4.82E+10
POL,Poland," $229,615,018 "," $352,468,993 "," $1,241,931,650 "," $124,752,826 "," $571,759,577 "," $504,105,613 "," $3,024,633,677 ",0.47," $1,185,488,626,250 ",3.83E+07,1.48E+10
PRT,Portugal," $70,691,315 "," $113,258,510 "," $26,563,634 "," $49,770,677 "," $1,199,421,473 "," $291,941,122 "," $1,751,646,731 ",0.65," $305,535,080,526 ",1.09E+07,6.92E+09
QAT,Qatar," $63,860,197 "," $65,185,818 "," $2,591,347 ", $-   ," $58,281,893 "," $37,983,851 "," $227,903,105 ",0.52," $299,302,420,234 ",2.70E+06,5.56E+08
COG,Republic of Congo," $76,221,663 "," $118,504,834 "," $11,601,179 "," $32,220,924 ", $-   ," $47,709,720 "," $286,258,320 ",0.29," $24,665,527,438 ",2.58E+06,2.22E+08
SRB,Republic of Serbia," $40,760,166 "," $67,244,213 "," $135,891,643 "," $46,801,011 "," $144,883,758 "," $87,116,158 "," $522,696,950 ",0.38," $87,204,992,770 ",6.88E+06,3.56E+09
ROU,Romania," $165,597,547 "," $256,180,914 "," $392,514,238 "," $147,513,592 "," $463,525,686 "," $285,066,395 "," $1,710,398,373 ",0.42," $422,898,445,543 ",1.98E+07,1.12E+10
RUS,Russia," $2,576,411,441 "," $3,565,950,200 "," $7,775,176,632 "," $801,427,688 "," $5,901,774,578 "," $4,124,148,108 "," $24,744,888,647 ",0.38," $4,255,330,735,710 ",1.37E+08,7.27E+10
RWA,Rwanda," $221,685,621 "," $306,966,033 "," $19,963,555 "," $364,415 "," $2,284,243 "," $110,252,773 "," $661,516,640 ",0.39," $45,954,713,286 ",1.67E+07,4.49E+08
SMR,San Marino, $-   , $-   ," $14,711 "," $139,605 "," $101,630 "," $51,189 "," $307,135 ",0.79," $1,000,182,043 ",2.99E+04,4.55E+05
SAU,Saudi Arabia," $745,075,270 "," $727,981,585 "," $182,032,076 "," $35,340,392 "," $2,497,280,115 "," $837,541,887 "," $5,025,251,325 ",0.38," $1,314,045,775,590 ",4.08E+07,3.42E+10
SEN,Senegal," $391,540,418 "," $348,682,109 "," $49,246,202 "," $42,005,333 "," $105,963,372 "," $187,487,487 "," $1,124,924,922 ",0.37," $64,114,483,983 ",1.65E+07,3.50E+09
SLE,Sierra Leone," $287,527,366 "," $228,803,475 "," $156,583,175 "," $116,405,047 "," $93,220,769 "," $176,507,967 "," $1,059,047,800 ",0.42," $17,680,676,389 ",7.75E+06,1.11E+09
SVK,Slovakia," $34,546,402 "," $50,507,040 "," $27,783,406 "," $25,077,384 "," $3,079,925 "," $28,198,832 "," $169,192,989 ",0.55," $181,611,122,686 ",5.22E+06,1.04E+09
